X	PHI
  -2.437	  -0.564
  -2.437	  -0.564
  -2.436	  -0.565
  -2.435	  -0.565
  -2.435	  -0.566
  -2.434	  -0.567
  -2.434	  -0.567
  -2.433	  -0.568
  -2.432	  -0.568
  -2.432	  -0.569
  -2.431	  -0.570
  -2.431	  -0.570
  -2.430	  -0.571
  -2.429	  -0.571
  -2.429	  -0.572
  -2.428	  -0.573
  -2.428	  -0.573
  -2.427	  -0.574
  -2.426	  -0.574
  -2.426	  -0.575
  -2.425	  -0.576
  -2.425	  -0.576
  -2.424	  -0.577
  -2.423	  -0.577
  -2.423	  -0.578
  -2.422	  -0.579
  -2.422	  -0.579
  -2.421	  -0.580
  -2.420	  -0.580
  -2.420	  -0.581
  -2.419	  -0.582
  -2.419	  -0.582
  -2.418	  -0.583
  -2.417	  -0.583
  -2.417	  -0.584
  -2.416	  -0.585
  -2.416	  -0.585
  -2.415	  -0.586
  -2.414	  -0.586
  -2.414	  -0.587
  -2.413	  -0.588
  -2.413	  -0.588
  -2.412	  -0.589
  -2.411	  -0.589
  -2.411	  -0.590
  -2.410	  -0.591
  -2.410	  -0.591
  -2.409	  -0.592
  -2.408	  -0.592
  -2.408	  -0.593
  -2.407	  -0.594
  -2.407	  -0.594
  -2.406	  -0.595
  -2.405	  -0.595
  -2.405	  -0.596
  -2.404	  -0.597
  -2.404	  -0.597
  -2.403	  -0.598
  -2.402	  -0.598
  -2.402	  -0.599
  -2.401	  -0.600
  -2.401	  -0.600
  -2.400	  -0.601
  -2.399	  -0.601
  -2.399	  -0.602
  -2.398	  -0.603
  -2.398	  -0.603
  -2.397	  -0.604
  -2.396	  -0.604
  -2.396	  -0.605
  -2.395	  -0.606
  -2.395	  -0.606
  -2.394	  -0.607
  -2.393	  -0.607
  -2.393	  -0.608
  -2.392	  -0.609
  -2.392	  -0.609
  -2.391	  -0.610
  -2.390	  -0.610
  -2.390	  -0.611
  -2.389	  -0.612
  -2.389	  -0.612
  -2.388	  -0.613
  -2.387	  -0.613
  -2.387	  -0.614
  -2.386	  -0.615
  -2.386	  -0.615
  -2.385	  -0.616
  -2.384	  -0.616
  -2.384	  -0.617
  -2.383	  -0.618
  -2.383	  -0.618
  -2.382	  -0.619
  -2.381	  -0.619
  -2.381	  -0.620
  -2.380	  -0.621
  -2.380	  -0.621
  -2.379	  -0.622
  -2.378	  -0.622
  -2.378	  -0.623
  -2.377	  -0.624
  -2.377	  -0.624
  -2.376	  -0.625
  -2.375	  -0.625
  -2.375	  -0.626
  -2.374	  -0.627
  -2.374	  -0.627
  -2.373	  -0.628
  -2.372	  -0.628
  -2.372	  -0.629
  -2.371	  -0.630
  -2.371	  -0.630
  -2.370	  -0.631
  -2.369	  -0.631
  -2.369	  -0.632
  -2.368	  -0.633
  -2.368	  -0.633
  -2.367	  -0.634
  -2.366	  -0.634
  -2.366	  -0.635
  -2.365	  -0.636
  -2.365	  -0.636
  -2.364	  -0.637
  -2.363	  -0.637
  -2.363	  -0.638
  -2.362	  -0.639
  -2.362	  -0.639
  -2.361	  -0.640
  -2.360	  -0.640
  -2.360	  -0.641
  -2.359	  -0.642
  -2.359	  -0.642
  -2.358	  -0.643
  -2.357	  -0.643
  -2.357	  -0.644
  -2.356	  -0.645
  -2.356	  -0.645
  -2.355	  -0.646
  -2.354	  -0.646
  -2.354	  -0.647
  -2.353	  -0.648
  -2.353	  -0.648
  -2.352	  -0.649
  -2.351	  -0.649
  -2.351	  -0.650
  -2.350	  -0.651
  -2.350	  -0.651
  -2.349	  -0.652
  -2.348	  -0.652
  -2.348	  -0.653
  -2.347	  -0.654
  -2.347	  -0.654
  -2.346	  -0.655
  -2.345	  -0.655
  -2.345	  -0.656
  -2.344	  -0.657
  -2.344	  -0.657
  -2.343	  -0.658
  -2.342	  -0.658
  -2.342	  -0.659
  -2.341	  -0.660
  -2.341	  -0.660
  -2.340	  -0.661
  -2.339	  -0.661
  -2.339	  -0.662
  -2.338	  -0.663
  -2.338	  -0.663
  -2.337	  -0.664
  -2.336	  -0.664
  -2.336	  -0.665
  -2.335	  -0.666
  -2.335	  -0.666
  -2.334	  -0.667
  -2.333	  -0.667
  -2.333	  -0.668
  -2.332	  -0.669
  -2.332	  -0.669
  -2.331	  -0.670
  -2.330	  -0.670
  -2.330	  -0.671
  -2.329	  -0.672
  -2.329	  -0.672
  -2.328	  -0.673
  -2.327	  -0.673
  -2.327	  -0.674
  -2.326	  -0.675
  -2.326	  -0.675
  -2.325	  -0.676
  -2.324	  -0.676
  -2.324	  -0.677
  -2.323	  -0.678
  -2.323	  -0.678
  -2.322	  -0.679
  -2.321	  -0.679
  -2.321	  -0.680
  -2.320	  -0.681
  -2.320	  -0.681
  -2.319	  -0.682
  -2.318	  -0.682
  -2.318	  -0.683
  -2.317	  -0.684
  -2.317	  -0.684
  -2.316	  -0.685
  -2.315	  -0.685
  -2.315	  -0.686
  -2.314	  -0.687
  -2.314	  -0.687
  -2.313	  -0.688
  -2.312	  -0.688
  -2.312	  -0.689
  -2.311	  -0.690
  -2.311	  -0.690
  -2.310	  -0.691
  -2.309	  -0.691
  -2.309	  -0.692
  -2.308	  -0.693
  -2.308	  -0.693
  -2.307	  -0.694
  -2.306	  -0.694
  -2.306	  -0.695
  -2.305	  -0.696
  -2.305	  -0.696
  -2.304	  -0.697
  -2.303	  -0.697
  -2.303	  -0.698
